ISTJ,ISFJ,INFJ,INTJ,ISTP,ISFP,INFP,INTP,ESTP,ESFP,ENFP,ENTP,ESTJ,ESFJ,ENFJ,ENTJ
War,Educational,Drama,Mystery,Satire,Animation,Fantasy,Sci-fi,Action,Musical,Adventure,Comedy,Historical,Musicals,Romcom,Thriller
Courtroom,Mystery,,Thriller,Horror,Family,,,Adventure,Romcoms,Animated,Dark Comedy,Western,Chick-flicks,Romance,Crime
